random-seed,100
435,[146 292],292
4711,[278],278
8049,[8 9 45 279],279
9520,[88 32 207 278],278
9495,[88 32 207 278],278
6819,[50 61 62 66 280],280
13273,[47 39 40 9 45 279],279
317,[165 147 293],293
7949,[8 9 45 279],279
5018,[],280
12398,[65 16 66 280],280
645,[292],292
3911,[28 29 277],277
12903,[54 55 56 279],279
2134,[90 282],282
3450,[212 23 11 211 19 285],285
3588,[66 280],280
8058,[8 9 45 279],279
12158,[50 61 62 66 280],280
12670,[65 16 66 280],280
11365,[32 207 278],278
5902,[177 176 126 288],288
8696,[17 90 282],282
3674,[67 280],280
8165,[207 278],278
12109,[50 61 62 66 280],280
3900,[67 280],280
2862,[15 45 279],279
2847,[283],283
11498,[51 52 67 280],280
8644,[19 285],285
1240,[82 281],281
2891,[288],288
4231,[207 278],278
12354,[65 16 66 280],280
10656,[17 90 282],282
9389,[88 32 207 278],278
13257,[47 39 40 9 45 279],279
3145,[],278
3846,[5 287],287
9870,[1 51 52 67 280],280
10118,[1 51 52 67 280],280
11793,[51 52 67 280],280
8351,[93 282],282
543,[282],282
9737,[92 93 282],282
4616,[106 284],284
6961,[86 85 281],281
6971,[86 85 281],281
8899,[206 88 32 207 278],278
3736,[287],287
2167,[294],294
9474,[88 32 207 278],278
7277,[9 45 279],279
8817,[206 88 32 207 278],278
959,[10 67 280],280
9742,[92 93 282],282
5856,[57 56 279],279
813,[139 126 288],288
11980,[50 61 62 66 280],280
2587,[55 56 279],279
792,[139 126 288],288
8507,[141 287],287
1999,[282],282
11837,[50 61 62 66 280],280
8844,[206 88 32 207 278],278
13242,[47 39 40 9 45 279],279
3938,[277],277
4709,[278],278
9709,[92 93 282],282
8322,[105 106 284],284
1204,[],285
2465,[],284
8994,[49 15 45 279],279
3935,[277],277
6753,[101 283],283
6214,[105 106 284],284
2867,[15 45 279],279
5087,[52 67 280],280
512,[134 133 289],289
6807,[50 61 62 66 280],280
8710,[206 88 32 207 278],278
9096,[49 15 45 279],279
653,[292],292
2886,[15 45 279],279
3205,[175 141 287],287
6120,[66 280],280
6781,[101 283],283
8105,[207 278],278
5407,[96 101 283],283
4076,[159 160 292],292
13073,[54 55 56 279],279
9767,[92 93 282],282
3554,[85 281],281
6842,[19 285],285
6143,[289],289
2873,[15 45 279],279
10556,[17 90 282],282
7425,[213 151 168 294],294
6226,[157 145 160 292],292
11594,[51 52 67 280],280
6716,[176 126 288],288
801,[139 126 288],288
7133,[144 203 204 136 152 290],290
8317,[105 106 284],284
11664,[51 52 67 280],280
1733,[34 33 207 278],278
3643,[66 280],280
2387,[118 119 285],285
8886,[206 88 32 207 278],278
7761,[140 141 287],287
11273,[32 207 278],278
839,[189 144 203 204 136 152 290 155 291],291
1105,[293],293
8193,[155 290],290
2172,[26 276],276
12981,[54 55 56 279],279
8380,[93 282],282
791,[139 126 288],288
11144,[81 82 281],281
6987,[86 85 281],281
8421,[138 143 5 287],287
6113,[66 280],280
4775,[278],278
4277,[207 278],278
5264,[287],287
8945,[49 15 45 279],279
7863,[205 162 164 293],293
3109,[66 280],280
12718,[54 55 56 279],279
3124,[],278
4312,[207 278],278
6055,[66 280],280
10514,[17 90 282],282
5876,[147 293],293
9850,[1 51 52 67 280],280
11237,[32 207 278],278
10681,[17 90 282],282
12878,[54 55 56 279],279
10213,[1 51 52 67 280],280
3804,[168 294],294
1545,[],281
9697,[92 93 282],282
12814,[54 55 56 279],279
3009,[126 288],288
6420,[45 279],279
11448,[51 52 67 280],280
12116,[50 61 62 66 280],280
13347,[47 39 40 9 45 279],279
11769,[51 52 67 280],280
5388,[96 101 283],283
3131,[],278
845,[32 207 278],278
1386,[156 155 290],290
10171,[1 51 52 67 280],280
2283,[62 66 280],280
9314,[48 49 15 45 279],279
12935,[54 55 56 279],279
4430,[16 66 280],280
2953,[203 204 136 152 290],290
2410,[85 281],281
2472,[],284
3974,[204 136 289],289
8145,[207 278],278
2111,[90 282],282
3416,[218 159 158 208 194 195 291],291
8538,[286],286
8845,[206 88 32 207 278],278
6369,[160 292],292
9293,[48 49 15 45 279],279
1621,[152 290],290
12578,[65 16 66 280],280
542,[282],282
9175,[48 49 15 45 279],279
8763,[206 88 32 207 278],278
4058,[83 82 281],281
2256,[62 66 280],280
9471,[88 32 207 278],278
7721,[56 279],279
6642,[37 34 33 207 278],278
2609,[55 56 279],279
6268,[],288
9543,[88 32 207 278],278
5954,[281],281
2876,[15 45 279],279
9753,[92 93 282],282
7572,[62 66 280],280
6178,[105 106 284],284
3263,[61 62 66 280],280
12913,[54 55 56 279],279
8578,[280],280
5317,[45 279],279
9992,[1 51 52 67 280],280
2832,[283],283
10999,[81 82 281],281
